ingredient_name,phe_mg_per_100g,protein_g_per_100g,energy_kcal_per_100g,usda_name,source,phe_estimated,usda_match,usda_data_type,match_type
turmeric,0.53,9.68,311.90283,"spices, turmeric, ground",USDA,False,"Spices, turmeric, ground",SR Legacy,
turnip,0.121,2.46,21.51054,"turnip greens and turnips, frozen, unprepared",USDA,False,"Turnip greens and turnips, frozen, unprepared",SR Legacy,
turnips,0.121,2.46,21.51054,"turnip greens and turnips, frozen, unprepared",USDA,False,"Turnip greens and turnips, frozen, unprepared",SR Legacy,
umeboshi,0.0,0.0,36.0,umeboshi,Nutritional_Data.csv,False,,,exact
unsalted butter,0.0,0.0,0.0,"salt, table",USDA,False,"Salt, table",SR Legacy,
vanilla extract,3.0,0.06,288.00223,vanilla extract,USDA,True,Vanilla extract,SR Legacy,
vegan aioli,15.0,0.3,232.0,vegan mayonnaise,USDA,True,Vegan mayonnaise,Survey (FNDDS),
vegan butter,0.0,0.0,900.096596,"butter, clarified butter (ghee)",USDA,False,"Butter, Clarified butter (ghee)",SR Legacy,
vegan cream (pku-safe),0.135,2.96,194.78988999999999,"cream, fluid, light (coffee cream or table cream)",USDA,False,"Cream, fluid, light (coffee cream or table cream)",SR Legacy,
vegan worcestershire sauce,0.0,0.0,76.720926,"sauce, worcestershire",USDA,False,"Sauce, worcestershire",SR Legacy,
vegetable broth,0.0,0.0,4.97737556561086,vegetable broth,Nutritional_Data.csv,False,,,exact
vegetable oil,0.0,0.0,884.0831939999999,"oil, vegetable, soybean, refined",USDA,False,"Oil, vegetable, soybean, refined",SR Legacy,
vinegar,0.0,0.0,21.0,vinegar,USDA,False,Vinegar,Survey (FNDDS),
vinegar/oil dressing,0.0,0.0,437.5,vinegar/oil dressing,Nutritional_Data.csv,False,,,exact
walnut,0.0,0.0,884.0831939999999,"oil, walnut",USDA,False,"Oil, walnut",SR Legacy,
water,0.0,0.0,0.0,"water, tap",USDA,False,"Water, tap",Survey (FNDDS),
water (soaking),0.553,14.03,154.397876,"lamb, new zealand, imported, brains, cooked, soaked and fried",USDA,False,"Lamb, New Zealand, imported, brains, cooked, soaked and fried",SR Legacy,
water chestnut,264.3375,5.28675,0.0,"flour, chestnut",USDA,True,"Flour, chestnut",Foundation,
water spinach,0.406,7.89,171.845314,spinach souffle,USDA,False,Spinach souffle,SR Legacy,
waterleaf,0.0,0.0,35.0,waterleaf,Nutritional_Data.csv,False,,,exact
watermelon,0.015,0.61,30.353762,"watermelon, raw",USDA,False,"Watermelon, raw",SR Legacy,
"watermelon, cubed",0.015,0.61,30.353762,"watermelon, raw",USDA,False,"Watermelon, raw",SR Legacy,
white bread,0.0,0.0,265.0,white bread,Nutritional_Data.csv,False,,,exact
white pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
white rice,325.0,6.5,164.0,beans and white rice,USDA,True,Beans and white rice,Survey (FNDDS),
wine,2.0,0.04,49.0,wine spritzer,USDA,True,Wine spritzer,Survey (FNDDS),
winter melon,89.0,1.78,43.738098,horned melon (kiwano),USDA,True,Horned melon (Kiwano),SR Legacy,
wood ear mushroom,462.5,9.25,284.41714,"fungi, cloud ears, dried",USDA,True,"Fungi, Cloud ears, dried",SR Legacy,
wood ear mushrooms,462.5,9.25,284.41714,"fungi, cloud ears, dried",USDA,True,"Fungi, Cloud ears, dried",SR Legacy,
yam,0.071,1.53,118.068964,"yam, raw",USDA,False,"Yam, raw",SR Legacy,
yeast,1194.0,23.88,185.22965,yeast extract spread,USDA,True,Yeast extract spread,SR Legacy,
yogurt,0.0,0.0,59.0,yogurt,Nutritional_Data.csv,False,,,exact
yuzu juice,70.5,1.41,114.72288,"frozen novelties, juice type, juice with cream",USDA,True,"Frozen novelties, juice type, juice with cream",SR Legacy,
zha cai,0.0,0.0,50.0,zha cai,Nutritional_Data.csv,False,,,exact
zucchini,0.096,2.71,21.032528,"squash, zucchini, baby, raw",USDA,False,"Squash, zucchini, baby, raw",SR Legacy,
